timestamp_ms,state,rawMoist,moist_pct,on_thresh,temp_c,humidity_pct,vpd_kpa,dht_ok,pump_on,water_raw,water_present
14810120,WaterLoop,362,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14811120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14812120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14813120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14814120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14815120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14816121,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,1,0,891,1
14817120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14818120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14819120,WaterLoop,360,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14820120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14821120,WaterLoop,360,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14822120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14823121,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,1,0,890,1
14824120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14825120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14826120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14827120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14828120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14829120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14830121,WaterLoop,360,0.37,0.35,23.0,40.0,1.686,1,0,890,1
14831120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14832120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14833120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14834120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14835120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14836120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14837121,WaterLoop,360,0.37,0.35,23.0,40.0,1.686,1,0,890,1
14838120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14839120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14840120,WaterLoop,360,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14841120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14842120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14843120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14844121,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,1,0,890,1
14845120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14846120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14847120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
